,profile_id,latitude,longitude,time,TrackRadius,Year,Depth_max,S_max,S_min,S_surf,S_bot,S_mean,T_min,T_max,T_surf,T_bot,T_mean,MLD,Unnamed: 0,MAST_Station,Station,Gear,Depth.bot,Water.surf,Water.bot,meanSa,meanAcod,meanPol,meanCap
22,CH-H02-2012,69.5,-167.0732042174865,2012-01-01 00:00:00,15.061098231556148,2012,,,,31.111,31.984,,,,7.718,4.526,,16.0,22.0,CH-H02,45.0,CTD,46.0,6.0,5.0,24.534337368421053,0.06058698684210526,0.0,0.005167222631578948
23,CH-H03-2012,69.5,-165.64640843497298,2012-01-01 00:00:00,15.06109823155074,2012,,,,31.009,31.016,,,,8.068999999999999,8.035,,31.0,23.0,CH-H03,47.0,CTD,36.0,6.0,6.0,14.444365753424657,1.4831643835616439e-05,0.0,0.0021108767123287674
24,CH-H04-2012,69.5,-164.21961265246,2012-01-01 00:00:00,15.06109823155074,2012,,,,29.365,29.410999999999998,,,,8.693999999999999,8.789,,21.0,24.0,CH-H04,49.0,CTD,24.0,6.0,6.0,21.007716666666663,0.00027064502083333334,0.0,0.038518981249999994
25,CH-I01-2012,70.0,-168.5,2012-01-01 00:00:00,15.059239026827356,2012,,,,30.124000000000002,32.899,,,,5.167000000000002,-0.7240000000000001,,7.0,25.0,CH-I01,58.0,CTD,43.0,5.0,3.0,37.377441999999995,5.5384e-05,0.0,4.0692e-06
26,CH-I02-2012,70.0,-167.03904791900405,2012-01-01 00:00:00,15.061385636130282,2012,,,,31.595,32.256,,,,6.218,3.2889999999999997,,14.5,26.0,CH-I02,56.0,CTD,48.0,5.0,5.0,187.59587012987012,0.5125733103896104,0.0,0.05331288506493506
27,CH-I03-2012,70.0,-165.578095838008,2012-01-01 00:00:00,14.874267908600844,2012,,,,31.314,31.52,,,,7.2929999999999975,6.859,,20.0,27.0,CH-I03,53.0,CTD,41.0,6.0,5.0,55.62361194029851,0.06330719402985074,0.0,0.01004344328358209
28,CH-I04-2012,70.0,-164.13529499999999,2012-01-01 00:00:00,14.874267908600844,2012,,,,31.111,31.334,,,,7.471,6.676,,9.5,28.0,CH-I04,50.0,CTD,32.0,6.0,5.0,204.46058,2.0355388153846152,0.0,0.0014482338461538462
29,CH-J01-2012,70.5,-168.5,2012-01-01 00:00:00,15.060092314601375,2012,,,,31.125,32.815,,,,6.059,-0.41700000000000004,,10.0,29.0,CH-J01,59.0,CTD,40.0,5.0,3.0,24.78573880597015,0.0,0.0,0.0
30,CH-J02-2012,70.5,-167.003099320258,2012-01-01 00:00:00,15.061667139943156,2012,,,,29.927,32.595,,,,5.6320000000000014,1.7890000000000001,,3.5,30.0,CH-J02,61.0,CTD,50.0,5.0,5.0,44.66202,0.17225941428571429,0.0,0.0008771687999999998
31,CH-J03-2012,70.5,-165.506198640516,2012-01-01 00:00:00,15.061667139943156,2012,,,,31.948,32.234,,,,5.92,3.7230000000000003,,11.0,31.0,CH-J03,65.0,CTD,43.0,5.0,5.0,548.1205483870967,5.069157419354839,0.0,0.0002066513870967742
