SURVEY,EVENT_ID,GEAR,EQ_TIME,EQ_LONGITUDE,EQ_LATITUDE,HB_TIME,HB_LONGITUDE,HB_LATITUDE,BOTTOM_DEPTH_START,AVG_HEAD_ROPE_DEPTH,AVG_NET_VERT_OPENING,AVG_NET_HORI_OPENING,MIN_HEAD_ROPE_DEPTH,MAX_HEAD_ROPE_DEPTH,YEAR,NET_AREA,TRAWL_DIST,VOL_FILTERED
2012001,62,CanTrawl,12-AUG-12 11.57.15.233000000 PM,165.9443,68.0034,13-AUG-12 12.30.03.006000000 AM,166.0608,67.9997,,2,18.73,53,2,2,2012,992.69,4889.328799,4853587.806
2012001,63,CanTrawl,13-AUG-12 01.05.07.592000000 AM,166.0667,67.9996,13-AUG-12 01.35.36.414000000 AM,165.9847,68.0025,,10.33333333,8.81,55,10,11,2012,484.55,3444.43054,1668998.818
2012001,65,CanTrawl,13-AUG-12 03.51.29.899000000 PM,168.5541,68.5386,13-AUG-12 04.21.47.770000000 PM,168.5876,68.5762,,2.333333333,17.48,53,2,3,2012,926.44,4411.261794,4086769.377
2012001,66,CanTrawl,13-AUG-12 06.33.27.249000000 PM,168.1394,68.5129,13-AUG-12 06.52.11.964000000 PM,168.1374,68.5358,,23,14.5,50,23,23,2012,725,2555.638034,1852837.575
2012001,70,CanTrawl,13-AUG-12 10.51.00.333000000 PM,167.1406,68.5362,13-AUG-12 11.21.33.260000000 PM,167.1137,68.5785,,1.5,17.76,52.75,1.5,1.5,2012,936.84,4844.327712,4538359.974
2012001,74,CanTrawl,14-AUG-12 04.44.30.159000000 AM,165.7303,69.0344,14-AUG-12 05.14.36.689000000 AM,165.745,69.0721,,1.62,15.5,59.4,1,2,2012,920.7,4246.160176,3909439.674
2012001,78,CanTrawl,14-AUG-12 04.56.30.367000000 PM,167.119,69.0387,14-AUG-12 05.26.56.943000000 PM,167.1084,69.0811,,1.69,19,52.9,1.5,2.5,2012,1005.1,4748.589838,4772807.646
2012001,79,CanTrawl,14-AUG-12 07.22.12.186000000 PM,167.458,68.9861,14-AUG-12 07.47.53.633000000 PM,167.4408,68.9576,,31.5,11,62,31,32,2012,682,3252.956427,2218516.283
2012001,83,CanTrawl,14-AUG-12 11.42.00.269000000 PM,168.4997,69.0317,15-AUG-12 12.12.43.739000000 AM,168.492,69.0714,,1.75,18,54,1.5,2,2012,972,4439.180173,4314883.128
2012001,86,CanTrawl,15-AUG-12 04.01.33.535000000 AM,168.5242,69.5496,15-AUG-12 04.31.33.354000000 AM,168.5484,69.5861,,1,17.71,55.71,1,1,2012,986.6241,4179.632362,4123726.017
2012001,87,CanTrawl,15-AUG-12 05.44.12.596000000 AM,168.5207,69.5492,15-AUG-12 06.10.04.257000000 AM,168.5212,69.5205,,21.85,13.99,49.49,20,24,2012,692.3651,3201.719219,2216758.647
