,profile_id,latitude,longitude,time,Depth_max,S_max,S_min,S_surf,S_bot,S_mean,T_min,T_max,T_surf,T_bot,T_mean,MLD,Water_surf,Water_bot
82,os1901l2c052_ctd,72.36616500000001,202.85283,2019-08-31 19:37:11+00:00,199.8303378547237,34.5579,27.1379,27.1416,34.54846666666666,32.316337810945285,-1.3486,7.9915,3.2472000000000008,0.05265,0.8149885572139303,8.0,1,7.0
83,os1901l2c053_ctd,72.252,202.58733,2019-09-01 01:12:41+00:00,100.92948097832485,32.4704,28.5771,28.58208333333333,32.46896666666666,31.64518349514563,-1.31,6.7286,4.877933333333334,-1.1840000000000002,0.8692067961165055,9.0,1,3.0
84,os1901l2c054_ctd,71.00066,202.20416,2019-09-02 15:13:21+00:00,19.795400289478536,31.479,31.4774,31.47746666666667,31.4784,31.478142857142853,7.5102,7.591,7.510933333333334,7.570049999999998,7.551904761904758,20.0,6,6.0
85,os1901l2c055_ctd,71.00066,200.70934,2019-09-02 19:36:00+00:00,48.49531789142613,32.2476,30.5601,30.5603,32.242583333333336,31.42870199999999,-0.3365,7.8397,7.72975,0.3037833333333333,3.5400660000000004,15.0,6,5.0
86,os1901l2c056_ctd,71.00166,199.213,2019-09-03 15:02:07+00:00,41.568118910730796,32.4595,30.1824,30.19173333333333,32.4583,31.455237209302325,-1.2431,7.8847,7.245516666666666,-0.17571666666666666,2.7971906976744187,5.5,6,3.0
87,os1901l2c057_ctd,71.0,197.6075,2019-09-03 21:05:12+00:00,40.57850408221221,32.4261,30.4517,30.45208333333333,32.4256,31.378030952380968,1.5744,9.0902,9.089533333333334,1.5828999999999998,5.344402380952382,15.5,6,5.0
88,os1901l2c058_ctd,71.00216999999999,196.09566999999998,2019-09-04 15:05:32+00:00,39.588875638512725,32.2906,30.2311,30.2325,32.2817,31.2492512195122,-0.0262,8.7447,8.7222,1.876183333333333,4.558121951219512,13.0,6,5.0
89,os1901l2c059_ctd,71.00117,194.59917,2019-09-04 20:44:25+00:00,36.61997861613614,32.2139,29.6722,29.67753333333333,32.14006666666667,30.88940263157895,4.7175,9.5428,9.535366666666668,6.132016666666668,8.473665789473685,9.0,6,5.0
90,os1901l2c060_ctd,71.00117,193.00083999999998,2019-09-05 15:01:57+00:00,41.56812006967017,32.4153,30.6823,30.68358333333333,32.40385,31.576558139534878,5.3276,9.0941,9.093716666666666,5.3565,7.705095348837209,17.5,6,5.0
91,os1901l2c061_ctd,71.001335,191.4995,2019-09-05 20:19:39+00:00,42.55773355847617,32.6491,31.4211,31.42133333333333,32.63628333333333,32.132161363636364,1.3541,8.7344,8.729750000000001,1.6116,5.332854545454548,11.5,6,5.0
92,os1901l2c062_ctd,71.75,191.512,2019-09-06 14:59:10+00:00,44.535081674045436,32.6593,30.9492,30.94983333333333,32.64976666666667,31.981015217391313,1.9846,8.2816,8.259416666666667,2.1114,5.069784782608697,14.5,6,5.0
